COUNTY,LICENSED VENDOR,LICENSE TYPE,MAILING ADDRESS,CONTACT
Cape Breton,ENTREPRISES MARIAN RICHARD INC.,Fishing,"49 SPAR ROAD, SYDNEY, NS, B1P7J1",(902) 539-8077
Cape Breton,G. PECK GROCERIES LIMITED,Fishing,"2 WOLFE STREET, LOUISBOURG, NS, B0A1M0",(902) 733-2210
Cape Breton,J & M ADVENTURES LTD.,Fishing,"130 RESERVE ST, GLACE BAY, NS, B1A4W5",(902) 843-0700
Cape Breton,J&N CRYAN HOLDINGS INC.,Fishing,"2052-01 CRYAN, JOHN, 21 BLOWERS STREET, SYDNEY, NS, B2A3S3",(902) 794-9824
Cape Breton,KACE GAS & CONVENIENCE,Fishing,"1449 DONKIN MORIEN HIGHWAY, PORT CALEDONIA, NS, B1A6V3",(902) 737-1109
Cape Breton,MARTIN'S CONVENIENCE,Fishing,"1181 WESTMOUNT RD., SYDNEY, NS, B1R1C8",(902) 539-4093
Cape Breton,MCVEIGH'S GENERAL STORE,Fishing,"73 ROYAL AVE, DOMINION, NS, B0A1E0",(902) 849-6444
Cape Breton,MIRA FERRY CONVENIENCE,Fishing,"4114 HIGHWAY 22, ALBERT BRIDGE, NS, B1K3H9",(902) 562-4142
Cape Breton,MOOSHOO OUTDOORS,Fishing,"201 CHURCHILL DRIVE, SUITE 303, SYDNEY, NS, B1S3S4",(902) 539-6070
Cape Breton,NEW WATERFORD AND AREA FISH & GAME ASSOCIATION,Fishing,"5315 UNION HIGHWAY, NEW WATERFORD, C.B., NS, B1H1B1",(902) 862-8263
Cape Breton,P. MULLINS INVESTMENTS LIMITED ,Fishing,"4320 LOUISBOURG HIGHWAY, ALBERT BRIDGE, NS, B1K2P3",(902) 562-1070
Cape Breton,SCOTCHISLAND - GEORGE'S COUNTRY CONVENIENCE,Fishing,"2046-01 JACKSON, MARK, 10 SCOTCH LAKE ROAD, GEORGES RIVER, NS, B1Y3V4",(902) 241-3020
Cape Breton,SYLLIBOY'S GROCERY & HARDWARE,Fishing,"4620 SHORE ROAD, ESKASONI, NS, B1W1B7",(902) 379-2223
Cape Breton,TERRY'S TOOL RENTALS LIMITED,Fishing,"1944-01 HALL, TERRY, 1161 R MAIN STREET, SYDNEY MINES, NS, B1V2N1",(902) 736-0922
Cape Breton,WAL-MART CANADA CORP. STORE #3100,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 562-3353 ext. 384
Cape Breton,WAL-MART CANADA CORP. STORE #3101,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 562-1110
Colchester,BARNHILL'S SUPERETTE ,Fishing,"3 EAST FOLLY MOUNTAIN ROAD, DEBERT, NS, B0M1G0",(902) 662-2017
Colchester,CANADIAN TIRE ASSOCIATE STORE,Fishing,"90 ROBIE STREET, TRURO, NS, B2N1L1",(902) 897-4466
Colchester,EAST END MINI MART,Fishing,"1321 PRINCE STREET, TRURO, NS, B2N1J5",(902) 895-8688
Colchester,GLENHOLME GENERAL STORE,Fishing,"10024 HWY. 2, GLENHOLME, NS, B0M1L0",(902) 662-4510
Colchester,HUNT OUTDOORS NOVA SCOTIA OUTFITTERS,Fishing,"50 JUNIPER ST, TRURO, NS, B2N5Z8",(902) 895-4868
Colchester,LE-A-POL GROCERY,Fishing,"4044 HWY 236, LOWER TRURO, NS, B6L1J9",(902) 895-1004
Colchester,MACKAY'S WILD OUTDOOR ADVENTURES,Fishing,"765 WILLOW STREET, TRURO, NS, B2N5H2",(902) 899-6025
Colchester,MASSTOWN MARKET LIMITED,Fishing,"10622 HIGHWAY #2, MASSTOWN, NS, B0M1G0",(902) 254-4302
Colchester,ONSLOW MARKET,Fishing,"1 ONSLOW ROAD, ONSLOW, NS, B6L5K3",(902) 893-8739
Colchester,R. & L. CAVANAUGH ENTERPRISES LIMITED,Fishing,"1117 HIGHWAY 311, TRURO, NS, B6L6H7",(902) 895-7305
Colchester,SELRITE STORES LIMITED,Fishing,"245 MAIN STREET, TATAMAGOUCHE, NS, B0K1V0",(902) 657-3031
Colchester,SILVERCROSS FISHING LODGE INCORPORATED,Fishing,"61 ROBIE STREET, TRURO, NS, B2N1K8",(902) 897-8860
Colchester,STEWIACKE HARDWARE & BUILDING SUPPLIES LIMITED,Fishing,"275 GEORGE ST, STEWIACKE, NS, B0N2J0",(902) 639-2347
Colchester,STRIPED BASS OUTFITTERS,Fishing,"1468 STEWIACKE RD., COLCHESTER COUNTY, NS, B0N2J0",(902) 639-9772
Colchester,TRURO HARDWARE LIMITED,Fishing,"45 WILLOW STREET, TRURO, NS, B2N5E5",(902) 893-3314
Colchester,UPPER STEWIACKE COOPERATIVE LIMITED,Fishing,"5477 HIGHWAY 289, UPPER STEWIACKE, NS, B0N2P0",(902) 671-2141
Colchester,VALLEY VARIETY,Fishing,"93 SALMON RIVER ROAD, VALLEY TRURO, NS, B6L2S6",(902) 893-7033
Colchester,WAL-MART STORE,Fishing,"140 WADE ROAD, TRURO, NS, B2N7H3",(902) 893-5582
Colchester,WILSON FUEL CO. LIMITED,Fishing,"282 PICTOU ROAD, TRURO, NS, B2N2T4",(902) 893-8088
Cumberland,A. & J. SUPERETTE,Fishing,"25 MAIN ST, JOGGINS, NS, B0L1A0",(902) 251-2194
Cumberland,ADVOCATE COUNTRY STORE,Fishing,"3554 HIGHWAY 209, PO BOX 29, ADVOCATE HARBOUR, NS, B0M1A0",(902) 392-2292
Cumberland,AMHERST SHORE COUNTRY STORE,Fishing,"6528 HIGHWAY 366, AMHERST SHORE, NS, B0L1E0",(902) 661-3511
Cumberland,CANADIAN TIRE ASSOCIATE STORE,Fishing,"152 SOUTH ALBION, AMHERST, NS, B4H4H4",(902) 667-7218
Cumberland,CHARMAN'S HARDWARE AND BUILDING SUPPLIES LIMITED,Fishing,"PO BOX 210, WALLACE, NS, B0K1Y0",(902) 257-2333
Cumberland,COLLINGWOOD MARKET,Fishing,"16 WENTWORTH, COLLINGWOOD ROAD, COLLINGWOOD, NS, B0M1E0",(902) 297-8708
Cumberland,KEN’S GROCERY LIMITED,Fishing,"123 CHURCH STREET, AMHERST, NS, B4H3B7",(902) 667-9388
Cumberland,KEN'S GROCERY LIMITED,Fishing,"176 MAIN STREET, PARRSBORO, NS, B0M1S0",(902) 254-2458
Cumberland,LOWER MAIN MARKET,Fishing,"460 LOWER MAIN STREET, OXFORD, NS, B0M1P0",(902) 447-3490
Cumberland,MIKE'S DRIVE-THRU & CONVENIENCE,Fishing,"75 SOUTH ALBION STREET, AMHERST, NS, B4H2W8",(902) 667-4222
Cumberland,PORT GREVILLE'S COUNTRY MARKET,Fishing,"1995-01 BENJAMIN, SUSAN, 23 SPRY AVENUE HALIFAX, NS, B3P1X1",(902) 348-2245
Cumberland,PUGWASH HOME HARDWARE,Fishing,"64 DURHAM ST, PUGWASH, NS, B0K1L0",(902) 243-2151
Cumberland,SCHIEFER'S MARKET 2010 LIMITED,Fishing,"15549 HIGHWAY # 2, SPRINGHILL JUNCTION, NS, B0M1X0",(902) 597-2701
Cumberland,SUNRISE COUNTRY MARKET & INN LTD.,Fishing,"7928 HWY 6, PORT HOWE, NS, B0K1K0",(902) 243-3600
Cumberland,WAL-MART,Fishing,"46 ROBERT ANGUS DRIVE, AMHERST, NS, B4H4R7",(902) 661-3476
Digby,C & F TACKLE SHOP & MORE,Fishing,"16 MAJOR ROAD, BELLIVEAU'S COVE, NS, B0W1J0",(902) 841-1688
Digby,DIGBY CONVENIENCE STORE,Fishing,"1891-01 HARRIS, CORY BOX 1894, 101 WATER ST., DIGBY, NS, B0V1A0",(902) 245-4048
Digby,GESTION MARTIN LECLERCQ INC. MARTIN LECLERCQ HOLDING,Fishing,"210 BOUL. DE MONTARVILLE, SUITE 2020, BOUCHERVILLE, QC, J4B6T3",(902) 245-2527
Digby,LEONARD C. COMEAU GENERAL STORE LIMITED,Fishing,"PO BOX 120, SAULNIERVILLE, NS, B0W2Z0",(902) 769-2425
Digby,LITTLE RIVER TRADING COMPANY LIMITED,Fishing,"6 SHORE ROAD, LITTLE RIVER, NS, B0V1C0",(902) 834-2824
Digby,LONG ISLAND TRADING COMPANY,Fishing,"3242 HWY 217, TIVERTON DIGBY CO., NS, B0V1G0",(902) 839-2399
Digby,MACALPINE'S AUTO SERVICE,Fishing,"5411 HIGHWAY 1, WEYMOUTH, NS, B0W3T0",(902) 837-4482
Digby,NEIGHBOR'S COUNTRY STORE,Fishing,"667 DOUCETTEVILLE RD., DIGBY, NS, B0W1H0",(902) 837-4909
Digby,PLYMPTON CONVENIENCE STORE,Fishing,"7179 HWY 101, PLYMPTON DIGBY CO, NS, B0W2R0",(902) 837-7132
Digby,R. E. ROBICHEAU LIMITED,Fishing,"225 WATER STREET, WESTPORT, NS, B0V1H0",(902) 839-2273
Digby,ROBICHAUD FOODS LIMITED,Fishing,"645 COMEAUVILLE, DIGBY, NS, B0W1Z0",(902) 769-2242
Digby,ROBICHAUD MEAT MARKET LIMITED,Fishing,"113 MAIN STREET, METEGHAN, NS, B0W2J0",(902) 645-2424
Digby,SAULNIERVILLE KWIK WAY,Fishing,"703 SAULNIERVILLE ROAD, SAULNIERVILLE, NS, B0W2Z0",(902) 769-3762
Digby,SIGNATURE MUSIC,Fishing,"146 VICTORIA ST, DIGBY, NS, B0V1A0",(902) 245-2349
Digby,SISSIBOO INVESTMENTS LIMITED,Fishing,"PO BOX 25, WEYMOUTH, NS, B0W3T0",(902) 837-5155
Digby,T & C MOTORS LIMITED,Fishing,"974 HWY 1, MARSHALLTOWN, NS, B0V1A0",(902) 245-4651
Digby,U. J. ROBICHAUD & SON WOODWORKERS LIMITED,Fishing,"8729 MAIN RD, METEGHAN CENTRE, NS, B0W2K0",(902) 645-3693
Digby,WALKER'S CONVENIENCE,Fishing,"8165 HIGHWAY 217, CENTERVILLE DIGBY, NS, B0V1A0",(902) 245-6758
Digby,WHITE HOUSE RETAIL ENTERPRISES INC.,Fishing,"1707-01 LEBLANC, JEANNE, 4910 HIGHWAY #1 SALMON RIVER, NS, B0W2Y0",(902) 649-2176
Guysborough,CANSO GARAGE LIMITED,Fishing,"84 MAIN STREET, CANSO, NS, B0H1H0",(902) 366-2611
Guysborough,FRASER COOK HOLDINGS INC.,Fishing,"10016 HIGHWAY 16, GUYSBOROUGH, NS, B0H1N0",(902) 533-2993
Guysborough,HANHAM'S GAS AND CONVENIENCE LIMITED,Fishing,"4274 HALF ISLAND COVE ROAD, HALF ISLAND COVE, NS, B0H1N0",(902) 358-2675
Guysborough,JAMES B. SMITH'S ENTERPRISES LIMITED,Fishing,"17490 HIGHWAY 316, COUNTRY HARBOUR, NS, B0H1J0",(902) 328-2933
Guysborough,LLOYD A KEEFE GROCERY,Fishing,"26 DOVER LANE, LITTLE DOVER, NS, B0H1V0",(902) 366-2367
Guysborough,RHYNOLD'S CONVENIENCE,Fishing,"15048 HIGHWAY 316, COUNTRY HARBOUR, NS, B0H1J0",(902) 328-2496
Guysborough,WHITNEY'S CORNER STORE,Fishing,"4955 HWY 211, P.O. BOX 11 PORT BICKERTON, NS, B0J1A0",(902) 364-2017
Halifax,A H CUNNINGHAM SALES LTD.,Fishing,"10 RADCLIFFE DRIVE, HALIFAX, NS, B3M4K7",(902) 457-1001
Halifax,ATLANTIC CO-OPERATIVE COUNTRY STORES,Fishing,"123 HALIFAX STREET, MONCTON, NB, E1C8N5",(902) 758-2046
Halifax,CANADIAN TIRE,Fishing,"24 FOREST HILLS PARKWAY, DARTMOUTH, NS, B2W6E4",(902) 462-6100
Halifax,CANADIAN TIRE ASSOCIATE STORE,Fishing,"30 LAMONT TERRACE, DARTMOUTH, NS, B3B0B5",(902) 434-2823
Halifax,CANADIAN TIRE ASSOCIATE STORE #044,Fishing,"6203 QUINPOOL ROAD, HALIFAX, NS, B3L4P6",(902) 422-4922 Ext. 311
Halifax,CANADIAN TIRE ASSOCIATE STORE #289,Fishing,"796 SACKVILLE DRIVE, LOWER SACKVILLE, NS, B4E1R7",(902) 864-3152
Halifax,CMND MACARTHUR SALES LTD.,Fishing,"98 MUTUAL STREET, ILNGERSOLL, ON, N5C1S5",(902) 826-2800
Halifax,DARTMOUTH SURPLUS LIMITED,Fishing,"40 MOSHER DRIVE, DARTMOUTH, NS, B3B1E6",(902) 576-5429
Halifax,DOLLAR LAKE PROVINCIAL PARK,Fishing,"PO BOX 112, MIDDLE MUSQUODOBOIT, NS, B0N1X0",(902) 384-2290
Halifax,ENFIELD HARDWARE LIMITED,Fishing,"264 HIGHWAY #2, ENFIELD, NS, B2T1C9",(902) 883-2266
Halifax,FISHING FEVER TACKLE SHOP LIMITED,Fishing,"2858 AGRICOLA ST., HALIFAX, NS, B3K4E7",(902) 454-2244
Halifax,GEORGES ABDEL MASSIH GROCERY,Fishing,"22 HWY 336, UPPER MUSQUOBOBOIT, NS, B0N2M0",(902) 568-2999
Halifax,GIZMO'S VARIETY,Fishing,"28989 HWY 7, MOSER RIVER, NS, B0J2K0",(902) 347-2002
Halifax,GREEN DIAMOND EQUIPMENT,Fishing,"270 HORSE LAKE DRIVE, HALIFAX, NS, B3S1A2",(902) 450-0712
Halifax,HARTLEN'S GAS BAR & GENERAL STORE,Fishing,"2409 BEAVERBANK RD., BEAVERBANK, NS, B4G1E5",(902) 864-0206
Halifax,HNATIUK'S HUNTING & FISHING LIMITED,Fishing,"1111 HIGHWAY #2, LANTZ, NS, B2S1M9",(902) 883-8890
Halifax,J.J. CUNNINGHAM SALES LTD.,Fishing,"16 DENTITH ROAD, SPRYFIELD, NS, B3R2H9",(902) 477-5608
Halifax,JCS STORE,Fishing,"31 ALBRO LAKE ROAD, DARTMOUTH, NS, B3A3X9",(902) 464-3573
Halifax,JD'S SHOOTING & FISHING SUPPLIES LIMITED,Fishing,"45 PROSPECT BAY ROAD, PROSPECT BAY, NS, B3T1Z4",(902) 852-2551
Halifax,JEDDORE VARIETY,Fishing,"8990 HIGHWAY #7, JEDDORE, NS, B0J1P0",(902) 889-2360
Halifax,JP MINI STOP,Fishing,"19620 HIGHWAY 7, SPRY BAY, NS, B0J3H0",(902) 885-5516
Halifax,L. AND M. SURPLUS,Fishing,"1823 #1 HIGHWAY, LR SACKVILLE, NS, B4E3B3",(902) 865-6794
Halifax,L.R.ETTINGER & SONS LIMITED,Fishing,"2861 HIGHWAY 2, SHUBENACADIE, NS, B0N2H0",(902) 758-2047
Halifax,LAURIE PROVINCIAL PARK,Fishing,"4949 HIGHWAY 2, WELLINGTON, NS, B0N2S0",(902) 861-1623
Halifax,MISHOO'S VARIETY,Fishing,"1 WEST PENNANT ROAD, SAMBRO, NS, B3V1E9",(902) 868-3000
Halifax,MONTE GOLDA TRADING LIMITED,Fishing,"2751 #7 HIGHWAY, LAKE ECHO, NS, B3E1A3",(902) 829-2222
Halifax,PARKER'S SERVICE STATION LIMITED,Fishing,"12311 HWY 224, MIDDLE MUSQUODOBOIT, NS, B0N1X0",(902) 384-2844
Halifax,REDMOND'S HARDWARE & BUILDING SUPPLIES LIMITED,Fishing,"5209 ST MARGARETS BAY, UPPER TANTALLON, NS, B3Z1E3",(902) 826-2517
Halifax,"SMITH, JAMES R.",Fishing,"10 TERENCE BAY WHARF ROAD, TERENCE BAY, NS, B3T1Y3",(902) 852-4265
Halifax,STEPHEN K. MANN LIMITED,Fishing,"150 DAMASCUS ROAD, BEDFORD, NS, B4A0E5",(902) 835-1060
Halifax,WAL-MART STORE #3021,Fishing,"90 LAMONT TERRACE, DARTMOUTH, NS, B3B0B5",(902) 461-4474
Halifax,WAL-MART STORE #3081,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 865-4000 Ext. 184
Halifax,WAL-MART STORE #3138,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 450-5570
Halifax,WAL-MART STORE #3636,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 454-7990 Ext. 184
Halifax,"WATT, SHARON",Fishing,"26433 # 7 HIGHWAY, PORT DUFFERIN, NS, B0J2R0",(902) 654-2626
Halifax,YOUNG GUNS HUNTING SHOP,Fishing,"11 WEST SIDE RD, PORTERS LAKE, NS, B3E1G6",(902) 827-4135
Hants,ANTHONY BROS. ENTERPRISES LIMITED,Fishing,"6203 HIGHWAY 354, KENNETCOOK, NS, B0N1P0",(902) 362-2424
Hants,ATLANTIC CO-OPERATIVE COUNTRY STORES,Fishing,"123 HALIFAX STREET, MONCTON, NB, E1C8N5",(902) 758-2046
Hants,CENTRE RAWDON COUNTRY STORE,Fishing,"2923 SOUTH RAWDON RD, CENTRE RAWDON, NS, B0N1Z0",(902) 632-2551
Hants,ENFIELD HARDWARE LIMITED,Fishing,"264 HIGHWAY #2, ENFIELD, NS, B2T1C9",(902) 883-2266
Hants,HNATIUK'S HUNTING & FISHING LIMITED,Fishing,"1111 HIGHWAY #2, LANTZ, NS, B2S1M9",(902) 883-8890
Hants,L.R.ETTINGER & SONS LIMITED,Fishing,"2861 HIGHWAY 2, SHUBENACADIE, NS, B0N2H0",(902) 758-2047
Hants,LAKESIDE VARIETY,Fishing,"1808 HIGHWAY 14, LOWER VAUGHANS, NS, B0N1T0",(902) 798-3340
Hants,LENO'S STOP SHOP,Fishing,"144 HWY 214, ELMSDALE, NS, B2S1G6",(902) 883-8008
Hants,MANTUA CASH & CARRY LIMITED,Fishing,"1634 AVONDALE RD, NEWPORT, NS, B0N2A0",(902) 757-3382
Hants,MARTIN'S RITESTOP,Fishing,"2864 MAIN STREET, PO BOX 1770, SHUBENACADIE, NS, B0N2H0",(902) 758-1462
Hants,MILLER MART INC.,Fishing,"39 MAIN STREET, HANTSPORT, NS, B0P1P0",(902) 684-3343
Hants,SANFORD'S GAS AND GROCERY,Fishing,"3328 HWY 215, CENTRE BURLINGTON, NS, B0N1E0",(902) 757-3495
Hants,VAUGHAN'S MARKET,Fishing,"319 WENTWORTH RD, PO BOX 3057, WINDSOR, NS, B0N2T0",(902) 792-1977
Hants,WALTON VARIETY STORE,Fishing,"39 SHORE ROAD, WALTON, NS, B0N2R0",(902) 528-2051
Hants,WINDSOR HOME HARDWARE,Fishing,"50 EMPIRE LANE - FORT EDWARD MALL, WINDSOR, NS, B0N2T0",(902) 798-3222
Inverness,A & M WARDELL SALES LTD.,Fishing,"625 REEVES STREET, PORT HAWKESBURY, NS, B9A2R8",(902) 625-1580
Inverness,ALVIN L. INGRAHAM'S GARAGE LIMITED,Fishing,"231 CRANTON CROSSROAD, INVERNESS CO., NS, B0E1Z0",(902) 248-2629
Inverness,BIG INTERVALE SPORTING LODGE LIMITED,Fishing,"3719 WEST BIG INTERVALE RD., MARGAREE VALLEY, NS, B0E2C0",(902) 248-2275
Inverness,BROOK VILLAGE GROCERY LIMITED,Fishing,"3482 HIGHWAY 252, BROOK VILLAGE, NS, B0E3M0",(902) 945-2757
Inverness,LA CO-OPERATIVE DE CHETICAMP LIMITEE,Fishing,"15081 CABOT TRAIL ROAD, CHETICAMP, NS, B0E1H0",(902) 224-2066
Inverness,LEBLANC GENERAL STORE,Fishing,"16016 CABOT TRAIL DRIVE, PETIT ETANG, NS, B0E2M0",(902) 224-1302
Inverness,LEBLANC'S STORE,Fishing,"7952 CABOT TRAIL, MARGAREE FORKS, NS, B0E2A0",(902) 248-2632
Inverness,LEMOYNE COOPERATIVE SOCIETY LIMITED,Fishing,"13105 CABOT TRAIL HIGHWAY, GRAND ETANG, NS, B0E1L0",(902) 224-3335
Inverness,MACISAAC'S VARIETY LIMITED,Fishing,"112 OLD SYDNEY RD, PORT HAWKESBURY, NS, B9A3A6",(902) 625-2650
Inverness,MACKINNON'S CAMPGROUND LTD.,Fishing,"2457 HIGHWAY 395, EAST LAKE AINSLIE, NS, B0E3M0",(902) 756-2790
Inverness,NORTH END BUILDING SUPPLIES LIMITED,Fishing,"PO BOX 89, PORT HOOD, NS, B0E2W0",(902) 787-2573
Inverness,TIMMONS STORE,Fishing,"23592 CABOT TRAIL RD, PLEASANT BAY, NS, B0E2P0",(902) 224-2174
Inverness,WAL-MART STORE #3068,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 625-0954 Ext. 184
Inverness,WAYNE'S VARIETY,Fishing,"5447 HIGHWAY 19, JUDIQUE, NS, B0E1P0",(902) 787-3404
Kings,BURT MCKNIGHT'S GROCERY LIMITED,Fishing,"2082 HWY. #1, AUBURN, NS, B0P1A0",(902) 847-9878
Kings,CAMBRIDGE CONVENIENCE,Fishing,"5968 HWY 1, CAMBRIDGE STATION, NS, B0P1G0",(902) 538-8209
Kings,CANNING VILLAGE MEAT MARKET INC.,Fishing,"29 ELM AVENUE, WOLFVILLE, NS, B4P2A1",(902) 582-3777
Kings,CANNS' CONVENIENCE MART,Fishing,"12551 HIGHWAY 1, AVONPORT, NS, B0P1B0",(902) 542-5417
Kings,DEREK HUTCHISON SALES LIMITED,Fishing,"29 ELM AVENUE, WOLFVILLE, NS, B0P1X0",(902) 681-4576
Kings,DNA CONVENIENCE CENTRE LIMITED,Fishing,"4237 HIGHWAY 12, KENTVILLE, NS, B4N3V8",(902) 678-9362
Kings,G. & O. YOUNG ENTERPRISES LTD.,Fishing,"730 CENTRAL AVENUE, GREENWOOD, ON, B0P1N0",(902) 765-6338
Kings,GASPEREAU GAS & CONVENIENCE,Fishing,"548 GASPEREAU RIVER ROAD, GASPEREAU, NS, B4P2R1",(902) 542-2108
Kings,GRAND PRE CONVENIENCE,Fishing,"11654 HIGHWAY 1, GRAND PRE, NS, B0P1M0",(902) 542-5770
Kings,JO-ANN'S MARKET PLACE,Fishing,"5573 HWY NO 1, WATERVILLE, NS, B0P1V0",(902) 538-9291
Kings,KERRIGAN WEIHERS TRUCKING & EXCAVATING,Fishing,"6495 AYLESFORD ROAD, RR # 1, AYLESFORD, NS, B0P1C0",(902) 847-0377
Kings,MID-VALLEY HARDWARE LIMITED,Fishing,"963 CENTRAL AVENUE, UNIT 35, BOX 1150, GREENWOOD, NS, B0P1N0",(902) 242-7777
Kings,SOUTH BERWICK GENERAL STORE LIMITED,Fishing,"4377 HIGHWAY #1, BERWICK, NS, B0P1E0",(902) 538-8867
Kings,THE BORDEN'S IN THE WOODS CONVENIENCE,Fishing,"1225 EAST DALHOUSIE ROAD, EAST DALHOUSIE, NS, B0R1H0",(902) 547-2741
Kings,VALLEY ARCHERY & GUNS,Fishing,"118 CANAAN MT ROAD, KENTVILLE, NS, B4N4K1",(902) 678-7392
Kings,VIMY RIDGE HUNTING AND TACKLE,Fishing,"2781 HIGHWAY 1, AYLESFORD, NS, B0P1C0",(902) 847-1134
Kings,WAL-MART STORE #3738,Fishing,"1601 LOWER WATER STREET, SUMMIT PLACE, HALIFAX, NS, B3J3P6",(902) 681-4271
